"STATEFP","COUNTYFP","COUNTYNS","AFFGEOID","GEOID","NAME","NAMELSAD","STUSPS","STATE_NAME","LSAD","ALAND","AWATER","state","county","donors_n","diabetes_n","diabetes_pct","median_age","gi_z","hotspot_class","plot_class"
"06","037","00277283","0500000US06037","06037","Los Angeles","Los Angeles County","CA","California","06",10513491099,1787501506,"CA","Los Angeles County",11462,540,4.7112196824289,47,-0.537151509813252,"Not significant","Not significant"
"06","059","00277294","0500000US06059","06059","Orange","Orange County","CA","California","06",2053449483,406294114,"CA","Orange County",5627,202,3.58983472543096,50,-0.908444619107963,"Not significant","Not significant"
"39","049","01074037","0500000US39049","39049","Franklin","Franklin County","OH","Ohio","06",1378954535,29030507,"OH","Franklin County",4090,226,5.52567237163814,51,-0.102395710141365,"Not significant","Not significant"
"17","031","01784766","0500000US17031","17031","Cook","Cook County","IL","Illinois","06",2447350649,1786331385,"IL","Cook County",3300,87,2.63636363636364,44,-1.25406210529715,"Not significant","Not significant"
"25","017","00606935","0500000US25017","25017","Middlesex","Middlesex County","MA","Massachusetts","06",2118236393,75318289,"MA","Middlesex County",3248,100,3.07881773399015,55,-1.93995279276181,"Cold spot (90%)","Cold spot (90%)"
"39","035","01074030","0500000US39035","39035","Cuyahoga","Cuyahoga County","OH","Ohio","06",1184169986,2041734546,"OH","Cuyahoga County",3035,136,4.48105436573311,54,-0.541334630326981,"Not significant","Not significant"
"55","025","01581072","0500000US55025","55025","Dane","Dane County","WI","Wisconsin","06",3098899108,106217126,"WI","Dane County",2984,105,3.51876675603217,51,-0.648991068017201,"Not significant","Not significant"
"42","091","01213680","0500000US42091","42091","Montgomery","Montgomery County","PA","Pennsylvania","06",1250887844,10984167,"PA","Montgomery County",2898,119,4.10628019323671,56,-1.1920676290672,"Not significant","Not significant"
"49","035","01448031","0500000US49035","49035","Salt Lake","Salt Lake County","UT","Utah","06",1921953041,164895908,"UT","Salt Lake County",2883,133,4.61325008671523,52,-1.30420360740511,"Not significant","Not significant"
"04","013","00037026","0500000US04013","04013","Maricopa","Maricopa County","AZ","Arizona","06",23832530727,62704529,"AZ","Maricopa County",2871,108,3.76175548589342,53,-1.25057939034447,"Not significant","Not significant"
"26","125","01623005","0500000US26125","26125","Oakland","Oakland County","MI","Michigan","06",2246231043,103501949,"MI","Oakland County",2816,122,4.33238636363636,57,-0.374446545428068,"Not significant","Not significant"
"04","019","00025446","0500000US04019","04019","Pima","Pima County","AZ","Arizona","06",23798597680,5112018,"AZ","Pima County",2690,116,4.31226765799256,55,-0.30564410279902,"Not significant","Not significant"
"49","049","01448038","0500000US49049","49049","Utah","Utah County","UT","Utah","06",5190543916,362967850,"UT","Utah County",2546,112,4.39905734485467,50,-1.78306840741723,"Cold spot (90%)","Cold spot (90%)"
"09","003","00212338","0500000US09003","09003","Hartford","Hartford County","CT","Connecticut","06",1903467948,40619801,"CT","Hartford County",2508,104,4.14673046251994,52,-1.47369617086061,"Not significant","Not significant"
"27","053","00659472","0500000US27053","27053","Hennepin","Hennepin County","MN","Minnesota","06",1434949241,136637568,"MN","Hennepin County",2420,87,3.59504132231405,50,-1.33368687686354,"Not significant","Not significant"
"29","189","00758549","0500000US29189","29189","St. Louis","St. Louis County","MO","Missouri","06",1315391134,39612404,"MO","St. Louis County",2339,96,4.10431808465156,54,-0.651530185052314,"Not significant","Not significant"
"09","001","00212794","0500000US09001","09001","Fairfield","Fairfield County","CT","Connecticut","06",1618664029,549280913,"CT","Fairfield County",2261,96,4.24590888987174,56,-1.42553958970862,"Not significant","Not significant"
"26","163","01623022","0500000US26163","26163","Wayne","Wayne County","MI","Michigan","06",1584653155,157748402,"MI","Wayne County",2224,142,6.38489208633094,57.5,-0.325222397855037,"Not significant","Not significant"
"36","055","00974126","0500000US36055","36055","Monroe","Monroe County","NY","New York","06",1701475181,1838271361,"NY","Monroe County",2212,100,4.52079566003617,56,0.0893558110012602,"Not significant","Not significant"
"16","001","00395066","0500000US16001","16001","Ada","Ada County","ID","Idaho","06",2724704673,22159753,"ID","Ada County",2149,68,3.16426244765007,56,-0.842057385480484,"Not significant","Not significant"
"37","183","01008592","0500000US37183","37183","Wake","Wake County","NC","North Carolina","06",2161570492,58082284,"NC","Wake County",2121,79,3.72465818010372,55,0.577124246376507,"Not significant","Not significant"
"21","111","00516902","0500000US21111","21111","Jefferson","Jefferson County","KY","Kentucky","06",986271740,43513298,"KY","Jefferson County",2078,117,5.63041385948027,52,0.0249286307706495,"Not significant","Not significant"
"06","001","01675839","0500000US06001","06001","Alameda","Alameda County","CA","California","06",1910017353,216902808,"CA","Alameda County",1977,80,4.04653515427415,54,-0.724580125963172,"Not significant","Not significant"
"42","017","01209173","0500000US42017","42017","Bucks","Bucks County","PA","Pennsylvania","06",1565303838,45293815,"PA","Bucks County",1972,86,4.36105476673428,58,-1.82616367689784,"Cold spot (90%)","Cold spot (90%)"
"41","067","01155137","0500000US41067","41067","Washington","Washington County","OR","Oregon","06",1875855599,6118186,"OR","Washington County",1951,68,3.48539210661199,53,-0.576175103511634,"Not significant","Not significant"
"09","009","00212798","0500000US09009","09009","New Haven","New Haven County","CT","Connecticut","06",1565143226,667604268,"CT","New Haven County",1930,97,5.0259067357513,55,-1.05619870176805,"Not significant","Not significant"
"06","073","00277301","0500000US06073","06073","San Diego","San Diego County","CA","California","06",10904455257,817317026,"CA","San Diego County",1877,60,3.19659030367608,48,-0.993266577528111,"Not significant","Not significant"
"13","121","01694833","0500000US13121","13121","Fulton","Fulton County","GA","Georgia","06",1364133162,19666288,"GA","Fulton County",1858,53,2.85252960172228,51,-0.429703087959002,"Not significant","Not significant"
"41","051","01135861","0500000US41051","41051","Multnomah","Multnomah County","OR","Oregon","06",1116697857,88087483,"OR","Multnomah County",1790,52,2.90502793296089,51,-0.993343686643627,"Not significant","Not significant"
"24","031","01712500","0500000US24031","24031","Montgomery","Montgomery County","MD","Maryland","06",1277148686,35731155,"MD","Montgomery County",1773,73,4.11731528482798,54,-1.79257829302373,"Cold spot (90%)","Cold spot (90%)"
"31","055","00835849","0500000US31055","31055","Douglas","Douglas County","NE","Nebraska","06",845391130,33520307,"NE","Douglas County",1744,95,5.44724770642202,54,0.204963846462976,"Not significant","Not significant"
"27","037","00659464","0500000US27037","27037","Dakota","Dakota County","MN","Minnesota","06",1456967786,62978183,"MN","Dakota County",1660,77,4.63855421686747,59,-1.42941513556887,"Not significant","Not significant"
"42","029","01209174","0500000US42029","42029","Chester","Chester County","PA","Pennsylvania","06",1943905797,22412288,"PA","Chester County",1594,54,3.38770388958595,57,-0.367696030160075,"Not significant","Not significant"
"06","013","01675903","0500000US06013","06013","Contra Costa","Contra Costa County","CA","California","06",1856838508,225278783,"CA","Contra Costa County",1578,80,5.06970849176172,57,-0.637551054715157,"Not significant","Not significant"
"26","099","01622992","0500000US26099","26099","Macomb","Macomb County","MI","Michigan","06",1241494597,237183770,"MI","Macomb County",1547,85,5.49450549450549,57,0.150558442609555,"Not significant","Not significant"
"25","021","00606937","0500000US25021","25021","Norfolk","Norfolk County","MA","Massachusetts","06",1025912543,124957891,"MA","Norfolk County",1511,30,1.98544010589014,53,-2.28555484394457,"Cold spot (95%)","Cold spot (95%)"
"27","123","00659507","0500000US27123","27123","Ramsey","Ramsey County","MN","Minnesota","06",394320493,46012134,"MN","Ramsey County",1504,60,3.98936170212766,58,-1.09283465012677,"Not significant","Not significant"
"32","003","00863600","0500000US32003","32003","Clark","Clark County","NV","Nevada","06",20439281712,438410943,"NV","Clark County",1463,88,6.01503759398496,54,0.0227324943461123,"Not significant","Not significant"
"36","067","00974132","0500000US36067","36067","Onondaga","Onondaga County","NY","New York","06",2016027798,70512843,"NY","Onondaga County",1447,55,3.80096751900484,53,-1.01847792207347,"Not significant","Not significant"
"24","005","01695314","0500000US24005","24005","Baltimore","Baltimore County","MD","Maryland","06",1549740654,215957832,"MD","Baltimore County",1435,78,5.43554006968641,56,-0.650219965874107,"Not significant","Not significant"
"33","011","00873179","0500000US33011","33011","Hillsborough","Hillsborough County","NH","New Hampshire","06",2270191096,41320770,"NH","Hillsborough County",1428,52,3.64145658263305,55,-0.990278656106851,"Not significant","Not significant"
"13","067","01686112","0500000US13067","13067","Cobb","Cobb County","GA","Georgia","06",880026860,12347127,"GA","Cobb County",1424,82,5.75842696629214,56,-0.0463565944952017,"Not significant","Not significant"
"51","810","01498559","0500000US51810","51810","Virginia Beach","Virginia Beach city","VA","Virginia","25",633828628,654687365,"VA","Virginia Beach city",1422,74,5.20393811533052,51,-0.04868049591626,"Not significant","Not significant"
"25","009","00606931","0500000US25009","25009","Essex","Essex County","MA","Massachusetts","06",1275623186,870158604,"MA","Essex County",1399,53,3.78842030021444,56,-1.64273456821503,"Not significant","Not significant"
"42","101","01209187","0500000US42101","42101","Philadelphia","Philadelphia County","PA","Pennsylvania","06",347981634,21606282,"PA","Philadelphia County",1391,67,4.81667864845435,44,-0.697120567352197,"Not significant","Not significant"
"20","173","00485049","0500000US20173","20173","Sedgwick","Sedgwick County","KS","Kansas","06",2582051713,31558986,"KS","Sedgwick County",1370,72,5.25547445255474,51.5,-0.345316389614611,"Not significant","Not significant"
"37","119","01008570","0500000US37119","37119","Mecklenburg","Mecklenburg County","NC","North Carolina","06",1356130079,58209535,"NC","Mecklenburg County",1368,59,4.31286549707602,55,0.369100832519364,"Not significant","Not significant"
"47","037","01639737","0500000US47037","47037","Davidson","Davidson County","TN","Tennessee","06",1304564434,56621444,"TN","Davidson County",1351,61,4.51517394522576,46,-0.531466428529523,"Not significant","Not significant"
"39","153","01074088","0500000US39153","39153","Summit","Summit County","OH","Ohio","06",1069129523,19007561,"OH","Summit County",1299,54,4.15704387990762,56,-0.891157710557117,"Not significant","Not significant"
"06","065","00277297","0500000US06065","06065","Riverside","Riverside County","CA","California","06",18671921166,243201314,"CA","Riverside County",1283,56,4.36477007014809,45,-0.882908087938226,"Not significant","Not significant"
"41","005","01155127","0500000US41005","41005","Clackamas","Clackamas County","OR","Oregon","06",4845019827,31883427,"OR","Clackamas County",1280,53,4.140625,58,-0.637822150492469,"Not significant","Not significant"
"49","011","01448020","0500000US49011","49011","Davis","Davis County","UT","Utah","06",774579558,870614815,"UT","Davis County",1269,64,5.04334121355398,50,-1.22283815039522,"Not significant","Not significant"
"06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892719,33595850,"CA","Santa Clara County",1266,69,5.45023696682464,50,-2.16923413745251,"Cold spot (95%)","Cold spot (95%)"
"13","089","01687424","0500000US13089","13089","DeKalb","DeKalb County","GA","Georgia","06",693443933,8858826,"GA","DeKalb County",1243,46,3.70072405470636,50,-0.35880511322769,"Not significant","Not significant"
"51","059","01480119","0500000US51059","51059","Fairfax","Fairfax County","VA","Virginia","06",1012739503,40071739,"VA","Fairfax County",1182,30,2.53807106598985,50,-1.79686895814963,"Cold spot (90%)","Cold spot (90%)"
"42","045","01209177","0500000US42045","42045","Delaware","Delaware County","PA","Pennsylvania","06",476078155,17582462,"PA","Delaware County",1174,70,5.96252129471891,56,-0.478299892866498,"Not significant","Not significant"
"36","029","00974113","0500000US36029","36029","Erie","Erie County","NY","New York","06",2700660508,476879106,"NY","Erie County",1151,56,4.86533449174631,57,-0.260268027994193,"Not significant","Not significant"
"41","047","01135859","0500000US41047","41047","Marion","Marion County","OR","Oregon","06",3059028016,26557042,"OR","Marion County",1150,71,6.17391304347826,52,-0.0207278046783627,"Not significant","Not significant"
"23","005","00581288","0500000US23005","23005","Cumberland","Cumberland County","ME","Maine","06",2165803498,987408428,"ME","Cumberland County",1145,22,1.92139737991266,55,-1.26623980866484,"Not significant","Not significant"
"06","071","00277300","0500000US06071","06071","San Bernardino","San Bernardino County","CA","California","06",51975908919,96406054,"CA","San Bernardino County",1144,62,5.41958041958042,46,-0.121601396873806,"Not significant","Not significant"
"33","015","00873181","0500000US33015","33015","Rockingham","Rockingham County","NH","New Hampshire","06",1801055120,258626550,"NH","Rockingham County",1134,49,4.32098765432099,59,-0.980032135441313,"Not significant","Not significant"
"37","081","01008558","0500000US37081","37081","Guilford","Guilford County","NC","North Carolina","06",1672930669,30338415,"NC","Guilford County",1133,52,4.58958517210944,59,1.24499483150148,"Not significant","Not significant"
"25","027","00606940","0500000US25027","25027","Worcester","Worcester County","MA","Massachusetts","06",3912627580,177366263,"MA","Worcester County",1128,50,4.43262411347518,57,-2.30772803710946,"Cold spot (95%)","Cold spot (95%)"
"34","007","00882273","0500000US34007","34007","Camden","Camden County","NJ","New Jersey","06",573315345,15699106,"NJ","Camden County",1121,56,4.99553969669938,51,-0.628365342951106,"Not significant","Not significant"
"13","135","01688166","0500000US13135","13135","Gwinnett","Gwinnett County","GA","Georgia","06",1115653877,15611813,"GA","Gwinnett County",1096,59,5.38321167883212,52,-1.37935372299203,"Not significant","Not significant"
"39","041","01074033","0500000US39041","39041","Delaware","Delaware County","OH","Ohio","06",1147744276,36698376,"OH","Delaware County",1094,39,3.56489945155393,54,0.205890179259026,"Not significant","Not significant"
"37","067","01008552","0500000US37067","37067","Forsyth","Forsyth County","NC","North Carolina","06",1056328480,11658537,"NC","Forsyth County",1073,73,6.80335507921715,57,1.76860623646695,"Hot spot (90%)","Hot spot (90%)"
"53","011","01531820","0500000US53011","53011","Clark","Clark County","WA","Washington","06",1627792396,70200672,"WA","Clark County",1067,51,4.77975632614808,56,-0.710735439955878,"Not significant","Not significant"
"34","005","00882272","0500000US34005","34005","Burlington","Burlington County","NJ","New Jersey","06",2070157273,54113878,"NJ","Burlington County",1060,40,3.77358490566038,53,-0.999068357114357,"Not significant","Not significant"
"25","023","00606938","0500000US25023","25023","Plymouth","Plymouth County","MA","Massachusetts","06",1705512311,1126103085,"MA","Plymouth County",1055,31,2.93838862559242,56,-1.31900480878991,"Not significant","Not significant"
